NAICS,Lat,Long,Emps
8141,39.622078,-104.89442,1
8141,39.885638,-105.03866,1
6244,39.738524,-104.80042,1
8141,39.600567,-105.04424,1
5614,39.809482,-105.08671,1
5239,39.633424,-104.90059,1
8141,39.729437,-104.9015,1
4532,39.653237,-104.89916,2
5511,39.749454,-104.99568,14
4453,39.683467,-105.02482,1
5242,39.723282,-105.13242,1
3254,39.754663,-105.01738,5
5416,39.748235,-104.99844,1
4251,39.708072,-104.89232,1
5613,39.741011,-104.90958,1
4889,39.762237,-105.03296,1
4238,39.603767,-104.89932,3
4541,39.800212,-105.1604,1
5415,39.617991,-104.96756,1
2111,39.742271,-104.98758,9
4247,39.870937,-104.88658,20
4471,39.667994,-104.91262,5
4471,39.613437,-104.98828,5
4471,39.71194,-105.13292,5
4471,39.730273,-105.17358,8
4471,39.653063,-104.99419,9
4471,39.689437,-104.94088,2
4471,39.740337,-104.89208,10
4239,39.723917,-104.80068,1
4453,39.607342,-105.02114,16
3231,39.775144,-104.92684,234
2111,39.747657,-104.99328,4
8141,39.676133,-104.95414,1
5242,39.609838,-104.88844,1
5312,39.742737,-104.93494,1
5416,39.712963,-104.94362,2
5181,39.627323,-104.8998,2
8141,39.727793,-104.90922,1
5313,39.749769,-104.99558,1
2382,39.78334,-105.12982,1
7224,39.877417,-105.09575,6
5611,39.747657,-104.99328,1
6213,39.684071,-104.93748,1
7222,39.776563,-105.03551,4
8113,39.791337,-105.10146,1
5611,39.687886,-104.80119,2
2361,39.757006,-104.89728,14
2362,39.6801,-104.9406,2
5416,39.607971,-104.80223,1
5411,39.609737,-104.90318,1
6213,39.812647,-105.16381,1
5242,39.700063,-104.93705,1
6211,39.877644,-104.97798,3
8141,39.762174,-104.87185,1
5415,39.78576,-104.91754,2
5241,39.877644,-104.97798,3
5242,39.714837,-104.94817,8
5239,39.883577,-105.03927,2
5181,39.646779,-104.98397,1
5412,39.776463,-105.06816,2
8141,39.643537,-104.95945,1
5161,39.66884,-105.11804,1
5239,39.718337,-104.95177,2
4237,39.723763,-105.01827,19
5239,39.618368,-104.87308,1
3323,39.769952,-104.92212,54
